กลุ่มยา,ชื่อสามัญ,รูปแบบยา/ความแรง,ขนาดบรรจุ,รูปแบบยา,ความแรง,หน่วยความแรง,ขนาดบรรจุ,หน่วยขนาดบรรจุ,ราคากลาง(รวมภาษีมูลค่าเพิ่ม)(บาท),หมายเหตุ
37. Drugs for Urinary Frequency and Incontinence,Fesoterodine fumarate,SR tab 4 mg,1 เม็ด,,,,,,40.86,
37. Drugs for Urinary Frequency and Incontinence,Fesoterodine fumarate,SR tab 8 mg,1 เม็ด,,,,,,40.86,
37. Drugs for Urinary Frequency and Incontinence,Flavoxate hydrochloride,tab 100 mg,1 เม็ด,,,,,,2,
37. Drugs for Urinary Frequency and Incontinence,Flavoxate hydrochloride,tab 200 mg,1 เม็ด,,,,,,4,
37. Drugs for Urinary Frequency and Incontinence,Mirabegron,SR tab 25 mg,1 เม็ด,,,,,,42.9,
37. Drugs for Urinary Frequency and Incontinence,Mirabegron,SR tab 50 mg,1 เม็ด,,,,,,48.15,
37. Drugs for Urinary Frequency and Incontinence,Oxybutynin chloride,tab 5 mg ,1 เม็ด,,,,,,7.49,
37. Drugs for Urinary Frequency and Incontinence,Oxybutynin chloride,SR tab 5 mg,1 เม็ด,,,,,,42.42,
37. Drugs for Urinary Frequency and Incontinence,Solifenacin succinate,tab 5 mg ,1 เม็ด,,,,,,35.02,
37. Drugs for Urinary Frequency and Incontinence,Solifenacin succinate,tab 10 mg ,1 เม็ด,,,,,,40.66,
37. Drugs for Urinary Frequency and Incontinence,Tolterodine tartrate,SR cap 2 mg,1 แคปซูล,,,,,,37.27,
37. Drugs for Urinary Frequency and Incontinence,Tolterodine tartrate,SR cap 4 mg,1 แคปซูล,,,,,,48.12,
37. Drugs for Urinary Frequency and Incontinence,Trospium chloride ,tab 15 mg,1 เม็ด,,,,,,4.53,
37. Drugs for Urinary Frequency and Incontinence,Trospium chloride ,tab 30 mg,1 เม็ด,,,,,,12.04,
37. Drugs for Urinary Frequency and Incontinence,Trospium chloride ,tab 20 mg,1 เม็ด,,,,,,7,
37. Drugs for Urinary Frequency and Incontinence,Trospium chloride ,SR cap 60 mg,1 แคปซูล,,,,,,47.21,
38. กลุ่มยา Androgen replacement,Mesterolone,tab 25 mg,1 เม็ด,,,,,,7.28,
38. กลุ่มยา Androgen replacement,Methyltestosterone,tab 25 mg,1 เม็ด,,,,,,6.5,
38. กลุ่มยา Androgen replacement,Methyltestosterone,tab/cap 10 mg,1 เม็ด/แคปซูล,,,,,,6.5,
38. กลุ่มยา Androgen replacement,Testosterone ,gel 10 mg/g (5 g),1 ซอง,,,,,,61.49,
38. กลุ่มยา Androgen replacement,Testosterone cypionate ,sterile sol 100 mg/amp,1 แอมพูล,,,,,,52,
38. กลุ่มยา Androgen replacement,Testosterone cypionate ,sterile sol 250 mg/amp,1 แอมพูล,,,,,,130,
38. กลุ่มยา Androgen replacement,Testosterone enanthate ,sterile sol 250 mg/amp,1 แอมพูล,,,,,,130,
38. กลุ่มยา Androgen replacement,Testosterone propionate,sterile sol 25 mg/amp,1 แอมพูล,,,,,,13,
38. กลุ่มยา Androgen replacement,Testosterone propionate ,sterile sol 50 mg/amp,1 แอมพูล,,,,,,26,
38. กลุ่มยา Androgen replacement,Testosterone undecanoate ,sterile sol 1000 mg/amp,1 แอมพูล,,,,,,4725.83,
38. กลุ่มยา Androgen replacement,Testosterone undecanoate ,cap 40 mg,1 แคปซูล,,,,,,10.88,
39. กลุ่มยา Drugs for treatment of gout and hyperuricaemia,Febuxostat,tab 80 mg,1 เม็ด,,,,,,38.52,
40. กลุ่มยา Vaccines,"Diphtheria-Tetanus-Pertussis-Hepatitis B-Haemophilus influenza B vaccine 
(DTP-HB-Hib)",sterile susp,1 โด๊ส,,,,,,47,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Leflunomide,tab 20 mg,1 เม็ด,,,,,,55.07,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Rituximab (MABTHERA®),sterile sol 100 mg/10 ml ,1 ไวแอล,,,,,,6252.44,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Rituximab (MABTHERA®),sterile sol 500 mg/50 ml ,1 ไวแอล,,,,,,24182,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Rituximab (MABTHERA®),sterile sol 1400 mg/11.7 ml,1 ไวแอล,,,,,,30434.44,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Rituximab (TRUXIMA®),sterile sol 100 mg/10 ml ,1 ไวแอล,,,,,,5000,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Rituximab (TRUXIMA®),sterile sol 500 mg/50 ml ,1 ไวแอล,,,,,,19345.6,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Abatacept ,sterile pwdr 250 mg,1 ไวแอล,,,,,,6855.78,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Adalimumab ,sterile sol 40 mg/0.8 ml ,0.8 ml,,,,,,15691.22,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Azathioprine,tab 50 mg,1 เม็ด,,,,,,5.45,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Tocilizumab  ,sterile sol 80 mg/4 ml,1 ไวแอล,,,,,,5055.75,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Tocilizumab  ,sterile sol 400 mg/20 ml,1 ไวแอล,,,,,,25198.5,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Tocilizumab  ,sterile sol 162 mg/0.9 ml ,0.9 ml,,,,,,7839.5,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Tofacitinib citrate,tab 5 mg,1 เม็ด,,,,,,479.36,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Infliximab (REMICADE®),sterile pwdr  100 mg,1 ไวแอล,,,,,,18693.44,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Infliximab (REMSIMA®),sterile pwdr  100 mg,1 ไวแอล,,,,,,11232,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Golimumab ,sterile sol 50 mg/0.5 ml,0.5 ml,,,,,,36159.38,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Etanercept ,sterile pwdr 25 mg,1 ไวแอล,,,,,,3022.15,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Etanercept ,sterile sol 25 mg/0.5 ml ,0.5 ml,,,,,,3852,
41. กลุ่มยา Disease-modifying antirheumatic drugs (DMARDs),Etanercept ,sterile sol 50 mg/1 ml,1 ml,,,,,,7704,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Alemtuzumab ,sterile sol 12 mg/1.2 ml ,1 ไวแอล,,,,,,323568,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Fampridine,prolonged release tab 10 mg,1 เม็ด,,,,,,288.05,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Fingolimod hydrochloride,cap 0.5 mg,1 แคปซูล,,,,,,2201.14,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Interferon beta-1a ,sterile sol 22 mcg/0.5ml,0.5 ml,,,,,,2658.15,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Interferon beta-1a ,sterile sol 44 mcg/0.5ml,0.5 ml,,,,,,4144.44,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Interferon beta-1b  ,sterile pwdr  8  MIU,1 ไวแอล,,,,,,1997.34,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Natalizumab ,sterile sol 20  mg/ml (15 ml),1 ไวแอล,,,,,,50352.35,
42. กลุ่มยา Disease-modifying therapy for multiple sclerosis,Teriflunomide,tab 14 mg,1 เม็ด,,,,,,1585.08,
43. กลุ่มยา Anti-ulcerant,"Alginic acid + Aluminium hydroxide
+ Magnesium carbonate ","chewable tab 
(200 mg + 30 mg + 40 mg)",1 เม็ด,,,,,,10.17,
43. กลุ่มยา Anti-ulcerant,Bismuth subnitrate + Aluminium sodium silicate + Glycyrrhiza,"tab 
(150 mg + 280 mg + 400 mg)",1 เม็ด,,,,,,1.55,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,tab 262 mg,1 เม็ด,,,,,,1.8,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,tab 524 mg,1 เม็ด,,,,,,4,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,"tab 1,048 mg",1 เม็ด,,,,,,7,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,chewable tab 262 mg,1 เม็ด,,,,,,1.8,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,chewable tab 524 mg,1 เม็ด,,,,,,3.6,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,oral susp 524 mg/15 ml (240 ml),1 ขวด,,,,,,60,
43. กลุ่มยา Anti-ulcerant,Bismuth subsalicylate ,oral susp 262 mg/15 ml (240 ml),1 ขวด,,,,,,60,
43. กลุ่มยา Anti-ulcerant,Cimetidine hydrochloride,tab/cap 400 mg,1 เม็ด/แคปซูล,,,,,,1.39,
43. กลุ่มยา Anti-ulcerant,Misoprostol,tab 200 mcg,1 เม็ด,,,,,,8.8,
43. กลุ่มยา Anti-ulcerant,Ranitidine hydrochloride,tab 150 mg ,1 เม็ด,,,,,,0.6,
43. กลุ่มยา Anti-ulcerant,Ranitidine hydrochloride,tab 300 mg ,1 เม็ด,,,,,,0.78,
43. กลุ่มยา Anti-ulcerant,Rebamipide,tab 100 mg,1 เม็ด,,,,,,7.83,
43. กลุ่มยา Anti-ulcerant,Sodium alginate + sodium bicarbonate ,"oral susp (500 mg + 267 mg)/10 ml 
(10 ml)",1 ซอง,,,,,,9.27,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate ,"oral susp (500 mg + 267 mg)/10 ml 
(150 ml)",1 ขวด,,,,,,133.75,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+potassium bicarbonate ,"oral susp (1,000 mg + 200 mg)/10 ml
(10 ml)",1 ซอง,,,,,,9.27,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+potassium bicarbonate ,"oral susp (1000 mg+200 mg)/10 ml 
(150 ml)",1 ขวด,,,,,,133.75,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate+calcium carbonate ,"chewable tab 
(250 mg+133.5 mg+80 mg) ",1 เม็ด,,,,,,5.65,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate+calcium carbonate ,"chewable tab 
(500 mg+267 mg+160 mg)",1 เม็ด,,,,,,5.65,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate+calcium carbonate ,"chewable tab 
(250 mg+106.5 mg+187.5 mg) ",1 เม็ด,,,,,,8.45,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate+calcium carbonate ,"oral susp 
(500 mg+213 mg+325 mg)/10 ml 
(10 ml)",1 ซอง,,,,,,15.4,
43. กลุ่มยา Anti-ulcerant,Sodium alginate+sodium bicarbonate+calcium carbonate,"oral susp 
(500 mg+213 mg+325 mg)/10 ml
(150 ml)",1 ขวด,,,,,,231,
43. กลุ่มยา Anti-ulcerant,Sucralfate,tab 500 mg ,1 เม็ด,,,,,,1.8,
43. กลุ่มยา Anti-ulcerant,Sucralfate,chewable tab 500 mg,1 เม็ด,,,,,,1.8,
43. กลุ่มยา Anti-ulcerant,Sucralfate,"tab 1,000 mg ",1 เม็ด,,,,,,4.28,
43. กลุ่มยา Anti-ulcerant,Sucralfate,"oral susp 1,000 mg/5 ml (5 ml)",1 ซอง,,,,,,14.98,
43. กลุ่มยา Anti-ulcerant,Sucralfate,"oral susp 1,000 mg/5 ml (60 ml)",1 ขวด,,,,,,107.54,
43. กลุ่มยา Anti-ulcerant,Sucralfate,"oral susp 1,000 mg/5 ml (240 ml)",1 ขวด,,,,,,393.76,
43. กลุ่มยา Anti-ulcerant,Teprenone ,cap 50 mg,1 แคปซูล,,,,,,5.88,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,tab 4 mg,1 เม็ด,,,,,,6.42,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,tab 8 mg,1 เม็ด,,,,,,8.56,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,sterile sol 4 mg/2 ml ,1 แอมพูล,,,,,,16.45,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,sterile sol 8 mg/4 ml ,1 แอมพูล,,,,,,17.66,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,orodispersible tab 4 mg,1 เม็ด,,,,,,6.42,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ondansetron hydrochloride,orodispersible tab 8 mg,1 เม็ด,,,,,,6.74,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ramosetron hydrochloride,orodispersible tab 0.1 mg,1 เม็ด,,,,,,312.98,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Ramosetron hydrochloride,sterile sol 0.3 mg/2 ml ,1 แอมพูล,,,,,,539.28,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Palonosetron hydrochloride,sterile sol 0.25 mg/5ml ,1 ไวแอล,,,,,,1558,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Aprepitant ,cap 80 mg,1 แคปซูล,,,,,,700.58,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Aprepitant ,cap 125  mg,1 แคปซูล,,,,,,954.87,
44. กลุ่มยา Anti-emetics and Anti-nauseants,Fosaprepitant,sterile pwdr 150 mg,1 ไวแอล,,,,,,2611.36,
45. กลุ่มยา Antihistamines for Systemic Use,Cetirizine hydrochloride ,cap/tap 10 mg,1 แคปซูล/เม็ด,,,,,,0.6,1
45. กลุ่มยา Antihistamines for Systemic Use,Cetirizine hydrochloride ,syr 5 mg/5 ml (100 ml),1 ขวด,,,,,,20,2
45. กลุ่มยา Antihistamines for Systemic Use,Cetirizine hydrochloride ,syr 5 mg/5 ml (60 ml),1 ขวด,,,,,,12.1,1
45. กลุ่มยา Antihistamines for Systemic Use,Cetirizine hydrochloride ,syr 5 mg/5 ml (75 ml),1 ขวด,,,,,,24.2,2
45. กลุ่มยา Antihistamines for Systemic Use,Chlorpheniramine maleate ,syr 2 mg/5ml (60 ml),1 ขวด,,,,,,7.51,
45. กลุ่มยา Antihistamines for Systemic Use,Desloratadine ,cap/tap 5 mg,1 แคปซูล/เม็ด,,,,,,9.1,2
45. กลุ่มยา Antihistamines for Systemic Use,Desloratadine ,orodispersible tab 2.5 mg,1 เม็ด,,,,,,11.88,2
45. กลุ่มยา Antihistamines for Systemic Use,Desloratadine ,orodispersible tab 5 mg,1 เม็ด,,,,,,23.75,2
45. กลุ่มยา Antihistamines for Systemic Use,Desloratadine ,syr 0.5 mg/ml (60 ml),1 ขวด,,,,,,130,2
45. กลุ่มยา Antihistamines for Systemic Use,Dimenhydrinate,tab 50 mg,1 เม็ด,,,,,,0.21,
45. กลุ่มยา Antihistamines for Systemic Use,Fexofenadine hydrochloride,oral susp 6 mg/ml (150 ml),1 ขวด,,,,,,205.44,2
45. กลุ่มยา Antihistamines for Systemic Use,Fexofenadine hydrochloride,tab 180 mg,1 เม็ด,,,,,,7.38,2
45. กลุ่มยา Antihistamines for Systemic Use,Fexofenadine hydrochloride,tab 60 mg,1 เม็ด,,,,,,3.06,2
45. กลุ่มยา Antihistamines for Systemic Use,Hydroxyzine hydrochloride ,"syr 10 mg/5 ml, (60 ml)",1 ขวด,,,,,,13.31,
45. กลุ่มยา Antihistamines for Systemic Use,Hydroxyzine hydrochloride ,tab 10 mg,1 เม็ด,,,,,,0.21,
45. กลุ่มยา Antihistamines for Systemic Use,Ketotifen hydrogen fumarate,syr 1 mg/5 ml (100 ml),1 ขวด,,,,,,19.45,2
45. กลุ่มยา Antihistamines for Systemic Use,Ketotifen hydrogen fumarate,syr 1 mg/5 ml (60 ml),1 ขวด,,,,,,19.45,2
45. กลุ่มยา Antihistamines for Systemic Use,Ketotifen hydrogen fumarate,tab 1 mg,1 เม็ด,,,,,,1,2
45. กลุ่มยา Antihistamines for Systemic Use,Levocetirizine dihydrochloride,cap/tap 5 mg,1 แคปซูล/เม็ด,,,,,,9.6,2
45. กลุ่มยา Antihistamines for Systemic Use,Oxatomide ,tab 30 mg,1 เม็ด,,,,,,3,2
"46. กลุ่มยา Agents for dermatitis, excluding corticosteroids",Pimecrolimus,cream 1% w/w (15 g),1 หลอด,,,,,,603.8,2
"46. กลุ่มยา Agents for dermatitis, excluding corticosteroids",Tacrolimus,oint 0.03% w/w (10 g),1 หลอด,,,,,,975.01,2
"46. กลุ่มยา Agents for dermatitis, excluding corticosteroids",Tacrolimus,oint 0.1% w/w (10 g),1 หลอด,,,,,,1098.66,2
47. กลุ่มยา Bone metastasis,Denosumab,sterile sol 120 mg/1.7ml,1 ไวแอล,,,,,,16606.4,2
47. กลุ่มยา Bone metastasis,Pamidronate disodium,sterile pwdr 30 mg,1 ไวแอล,,,,,,727.26,2
47. กลุ่มยา Bone metastasis,Pamidronate disodium,sterile sol 15 mg/5 ml,1 ไวแอล,,,,,,727.26,2
47. กลุ่มยา Bone metastasis,Pamidronate disodium,sterile sol 30 mg/10 ml ,1 ไวแอล,,,,,,747.93,2
47. กลุ่มยา Bone metastasis,Zoledronic acid,sterile pwdr 4 mg,1 ไวแอล,,,,,,2909.03,2
47. กลุ่มยา Bone metastasis,Zoledronic acid,sterile sol 4 mg/100ml,1 ไวแอล,,,,,,3210,2
47. กลุ่มยา Bone metastasis,Zoledronic acid,sterile sol 4 mg/5ml,1 ไวแอล,,,,,,2909.03,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Lanreotide acetate ,sterile sol 120 mg/prefilled syringe,1 ไซรินจ์,,,,,,41752.35,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Lanreotide acetate ,sterile sol 90 mg/prefilled syringe,1 ไซรินจ์,,,,,,31314.26,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Lanreotide acetate ,sterile sol 60 mg/prefilled syringe,1 ไซรินจ์,,,,,,20876.18,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Octreotide acetate,sterile pwdr 10 mg,1 ไวแอล,,,,,,14733.63,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Octreotide acetate,sterile pwdr 20 mg,2 ไวแอล,,,,,,58934.53,2
48. กลุ่มยา Somatostatin analogues for Metastatic Carcinoid syndrome,Octreotide acetate,sterile pwdr 30 mg,2 ไวแอล,,,,,,73032.85,2
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Acetazolamide,tab 250 mg,100,,,,,,175.48,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Acetylcysteine(N-acetylcysteine),sterile sol 100 mg/ml (3 ml),1,,,,,,20.33,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aciclovir (Acyclovir),eye oint 3% (4.5 g),1,,,,,,518.95,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aciclovir (Acyclovir),tab 200 mg,25,,,,,,44.94,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aciclovir (Acyclovir),tab 400 mg,25,,,,,,64.2,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aciclovir (Acyclovir),tab 800 mg,35,,,,,,240.75,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aciclovir sodium (Acyclovir sodium),sterile pwdr 250 mg,1,,,,,,214,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Aluminium hydroxide + Magnesium hydroxide + Simethicone 25-50 mg,tab,500,,,,,,150.87,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amikacin sulfate,sterile sol 125 mg/ml (2 ml),1,,,,,,23.54,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amikacin sulfate,sterile sol 250 mg/ml (2 ml),1,,,,,,32.1,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amiodarone hydrochloride,sterile sol 50 mg/ml (3 ml),6,,,,,,556.4,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amiodarone hydrochloride,tab 200 mg,30,,,,,,542.28,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,cap 250 mg,1000,,,,,,910.57,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,cap 250 mg,500,,,,,,480.43,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,cap 500 mg,500,,,,,,850.65,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,dry syr 125 mg/5ml (60 ml),1,,,,,,12.84,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,dry syr 125 mg/5ml (60 ml),50,,,,,,538.21,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Amoxicillin trihydrate,dry syr 250 mg/5ml (60 ml),1,,,,,,18.19,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Atraculium besilate,sterile sol 10 mg/ml (2.5 ml),5,,,,,,369.15,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Atraculium besilate,sterile sol 10 mg/ml (5 ml),5,,,,,,609.9,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Azithromycin,cap 250 mg,60,,,,,,1200.54,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Azithromycin,dry syr 200 mg/5 ml (15 ml),1,,,,,,208.65,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Baclofen,tab 10 mg,200,,,,,,352.03,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Barium sulfate,pwdr for oral susp (600 g),20,,,,,,3827.39,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Benzbromarone,tab 100 mg,100,,,,,,695.5,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,"Benzoic acid+Salicylic acid 
(Whitfield’s ointment)",oint (15 g),1,,,,,,5.35,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Benzyl benzoate,emulsion 25% (450 ml),1,,,,,,35.31,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Benzyl benzoate,lotion 25% (30 ml),1,,,,,,10.7,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Benzylpenicillin (Penicillin G),"sterile pwdr (as sodium or potassium) 
1.2 M",1,,,,,,37.45,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Betahistine mesilate (Betahistine mesylate),tab 6 mg,500,,,,,,276.06,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Betamethasone valerate,cream 0.1% (15 g),1,,,,,,16.05,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Betamethasone valerate,cream 0.1% (5 g),1,,,,,,8.56,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Betamethasone valerate,cream 0.1% (500 g),1,,,,,,380.92,
กลุ่มนี้เป็นรายการยาที่ประกาศราคากลางยาไว้ตั้งแต่ปี 2553 และอยู่ระหว่างปรับปรุงราคากลางยาให้เป็นปัจจุบัน,Bleomycin,sterile pwdr (as sulfate or as hydrochloride)15 iu,1,,,,,,1200.01,
